[2026-01-05 19시21분55초]	 [IP: 222.115.187.198]	 [계정: Ktamin]	 [캐릭명: 메티스]	 [접속]
[2026-01-05 19시22분08초]	 [IP: 222.115.187.198]	 [계정: Alsl2]	 [캐릭명: 진]	 [접속]
[2026-01-05 19시22분11초]	 [IP: 222.115.187.198]	 [계정: Alsl2]	 [캐릭명: 진]	 [종료]
[2026-01-05 19시22분12초]	 [IP: 222.115.187.198]	 [계정: Alsl2]	 [캐릭명: 이과장]	 [접속]
[2026-01-05 19시24분00초]	 [IP: 222.115.187.198]	 [계정: Ktamin]	 [캐릭명: 메티스]	 [종료]
[2026-01-05 19시24분02초]	 [IP: 222.115.187.198]	 [계정: Alsl2]	 [캐릭명: 이과장]	 [종료]
[2026-01-05 19시40분27초]	 [IP: 222.115.187.198]	 [계정: Ktamin]	 [캐릭명: 메티스]	 [접속]
[2026-01-05 19시41분43초]	 [IP: 222.115.187.198]	 [계정: Ktamin]	 [캐릭명: 메티스]	 [종료]
[2026-01-05 20시03분27초]	 [IP: 222.115.187.198]	 [계정: Ktamin]	 [캐릭명: 메티스]	 [접속]
[2026-01-05 20시03분42초]	 [IP: 222.115.187.198]	 [계정: Alsl2]	 [캐릭명: 진]	 [접속]
[2026-01-05 20시03분44초]	 [IP: 222.115.187.198]	 [계정: Alsl2]	 [캐릭명: 진]	 [종료]
[2026-01-05 20시03분45초]	 [IP: 222.115.187.198]	 [계정: Alsl2]	 [캐릭명: 이과장]	 [접속]
[2026-01-05 20시13분13초]	 [IP: 222.115.187.198]	 [계정: Ktamin]	 [캐릭명: 메티스]	 [종료]
[2026-01-05 20시13분16초]	 [IP: 222.115.187.198]	 [계정: Alsl2]	 [캐릭명: 이과장]	 [종료]
[2026-01-05 20시27분50초]	 [IP: 222.115.187.198]	 [계정: Ktamin]	 [캐릭명: 메티스]	 [접속]
[2026-01-05 20시28분17초]	 [IP: 222.115.187.198]	 [계정: Alsl2]	 [캐릭명: 이과장]	 [접속]
[2026-01-05 20시33분31초]	 [IP: 222.115.187.198]	 [계정: Ktamin]	 [캐릭명: 메티스]	 [종료]
[2026-01-05 20시33분34초]	 [IP: 222.115.187.198]	 [계정: Alsl2]	 [캐릭명: 이과장]	 [종료]
