[2025-12-15 15시09분54초]	 [IP: 222.115.187.198]	 [계정: Ktamin]	 [캐릭명: 메티스]	 [접속]
[2025-12-15 15시15분05초]	 [IP: 222.115.187.198]	 [계정: Ktamin]	 [캐릭명: 메티스]	 [종료]
[2025-12-15 15시16분06초]	 [IP: 222.115.187.198]	 [계정: Ktamin]	 [캐릭명: 메티스]	 [접속]
[2025-12-15 15시28분44초]	 [IP: 222.115.187.198]	 [계정: Ktamin]	 [캐릭명: 메티스]	 [종료]
[2025-12-15 15시29분46초]	 [IP: 222.115.187.198]	 [계정: Ktamin]	 [캐릭명: 메티스]	 [접속]
[2025-12-15 15시41분18초]	 [IP: 222.115.187.198]	 [계정: Ktamin]	 [캐릭명: 메티스]	 [종료]
[2025-12-15 15시42분04초]	 [IP: 222.115.187.198]	 [계정: Ktamin]	 [캐릭명: 메티스]	 [접속]
[2025-12-15 15시55분40초]	 [IP: 222.115.187.198]	 [계정: Ktamin]	 [캐릭명: 메티스]	 [종료]
[2025-12-15 19시12분29초]	 [IP: 222.115.187.198]	 [계정: Ktamin]	 [캐릭명: 메티스]	 [접속]
[2025-12-15 19시13분12초]	 [IP: 222.115.187.198]	 [계정: Ktamin]	 [캐릭명: 메티스]	 [종료]
