[2025-12-27 14시35분00초]	0	0	0	
[2025-12-27 14시35분01초]	0	0	0	
[2025-12-27 14시35분02초]	0	0	0	
[2025-12-27 14시35분03초]	0	0	0	
[2025-12-27 14시35분04초]	0	0	0	
[2025-12-27 14시35분05초]	0	0	0	
[2025-12-27 14시35분07초]	0	0	0	
[2025-12-27 14시35분08초]	0	0	0	
[2025-12-27 14시35분09초]	0	0	0	
[2025-12-27 14시35분10초]	0	0	0	
[2025-12-27 14시35분11초]	0	0	0	
[2025-12-27 14시35분12초]	0	0	0	
[2025-12-27 14시35분13초]	0	0	0	
[2025-12-27 14시35분14초]	0	0	0	
[2025-12-27 14시35분15초]	0	42	1	null|42|0	
[2025-12-27 14시35분16초]	0	0	1	null|0|0	
[2025-12-27 14시35분17초]	0	0	1	null|0|0	
[2025-12-27 14시35분18초]	0	0	1	null|0|0	
[2025-12-27 14시35분19초]	0	0	1	null|0|0	
[2025-12-27 14시35분20초]	0	0	1	null|0|0	
[2025-12-27 14시35분21초]	44	202	1	222.115.187.198|202|44	
[2025-12-27 14시35분22초]	6	346	1	222.115.187.198|346|6	
[2025-12-27 14시35분23초]	20	6072	1	222.115.187.198|6072|20	
[2025-12-27 14시35분24초]	0	942	1	222.115.187.198|942|0	
[2025-12-27 14시35분25초]	0	942	1	222.115.187.198|942|0	
[2025-12-27 14시35분26초]	0	952	1	222.115.187.198|952|0	
[2025-12-27 14시35분27초]	0	942	1	222.115.187.198|942|0	
[2025-12-27 14시35분28초]	10	960	1	222.115.187.198|960|10	
[2025-12-27 14시35분29초]	16	1232	1	222.115.187.198|1232|16	
[2025-12-27 14시35분30초]	88	1812	1	222.115.187.198|1812|88	
[2025-12-27 14시35분31초]	88	2196	1	222.115.187.198|2196|88	
[2025-12-27 14시35분32초]	48	2514	1	222.115.187.198|2514|48	
[2025-12-27 14시35분33초]	64	2240	1	222.115.187.198|2240|64	
[2025-12-27 14시35분34초]	88	1400	1	222.115.187.198|1400|88	
[2025-12-27 14시35분35초]	80	2046	1	222.115.187.198|2046|80	
[2025-12-27 14시35분36초]	80	1700	1	222.115.187.198|1700|80	
[2025-12-27 14시35분37초]	0	342	1	222.115.187.198|342|0	
[2025-12-27 14시35분38초]	0	342	1	222.115.187.198|342|0	
[2025-12-27 14시35분39초]	0	342	1	222.115.187.198|342|0	
[2025-12-27 14시35분40초]	10	1000	1	222.115.187.198|1000|10	
[2025-12-27 14시35분41초]	0	362	1	222.115.187.198|362|0	
[2025-12-27 14시35분42초]	0	360	1	222.115.187.198|360|0	
[2025-12-27 14시35분43초]	0	360	1	222.115.187.198|360|0	
[2025-12-27 14시35분44초]	0	352	1	222.115.187.198|352|0	
[2025-12-27 14시35분45초]	0	342	1	222.115.187.198|342|0	
[2025-12-27 14시35분46초]	0	342	1	222.115.187.198|342|0	
[2025-12-27 14시35분47초]	24	680	1	222.115.187.198|680|24	
[2025-12-27 14시35분48초]	32	378	1	222.115.187.198|378|32	
[2025-12-27 14시35분49초]	7	1044	1	222.115.187.198|1044|7	
[2025-12-27 14시35분50초]	0	42	1	222.115.187.198|42|0	
