[2026-02-19 21시05분15초]	0	0	0	
[2026-02-19 21시05분16초]	0	0	0	
[2026-02-19 21시05분17초]	0	0	0	
[2026-02-19 21시05분19초]	0	0	0	
[2026-02-19 21시05분20초]	0	0	0	
[2026-02-19 21시05분21초]	0	0	0	
[2026-02-19 21시05분22초]	0	0	0	
[2026-02-19 21시05분23초]	0	0	0	
[2026-02-19 21시05분24초]	0	0	0	
[2026-02-19 21시05분25초]	0	0	0	
[2026-02-19 21시05분26초]	0	0	0	
[2026-02-19 21시05분27초]	0	0	0	
[2026-02-19 21시05분28초]	0	0	0	
[2026-02-19 21시05분29초]	0	42	1	null|42|0	
[2026-02-19 21시05분30초]	0	0	1	null|0|0	
[2026-02-19 21시05분31초]	0	0	1	null|0|0	
[2026-02-19 21시05분32초]	0	0	1	null|0|0	
[2026-02-19 21시05분33초]	0	0	1	null|0|0	
[2026-02-19 21시05분34초]	0	0	1	null|0|0	
[2026-02-19 21시05분35초]	44	106	1	222.115.187.198|106|44	
[2026-02-19 21시05분36초]	0	0	1	222.115.187.198|0|0	
[2026-02-19 21시05분37초]	3	202	1	222.115.187.198|202|3	
[2026-02-19 21시05분38초]	3	250	1	222.115.187.198|250|3	
[2026-02-19 21시05분39초]	13	1844	1	222.115.187.198|1844|13	
[2026-02-19 21시05분40초]	3	10150	1	222.115.187.198|10150|3	
[2026-02-19 21시05분41초]	0	144	1	222.115.187.198|144|0	
[2026-02-19 21시05분42초]	0	180	1	222.115.187.198|180|0	
[2026-02-19 21시05분43초]	0	190	1	222.115.187.198|190|0	
[2026-02-19 21시05분44초]	0	126	1	222.115.187.198|126|0	
[2026-02-19 21시05분45초]	0	136	1	222.115.187.198|136|0	
[2026-02-19 21시05분46초]	0	136	1	222.115.187.198|136|0	
[2026-02-19 21시05분47초]	0	126	1	222.115.187.198|126|0	
[2026-02-19 21시05분48초]	0	172	1	222.115.187.198|172|0	
[2026-02-19 21시05분49초]	0	172	1	222.115.187.198|172|0	
[2026-02-19 21시05분50초]	0	126	1	222.115.187.198|126|0	
[2026-02-19 21시05분51초]	0	126	1	222.115.187.198|126|0	
[2026-02-19 21시05분52초]	0	136	1	222.115.187.198|136|0	
[2026-02-19 21시05분53초]	0	144	1	222.115.187.198|144|0	
[2026-02-19 21시05분54초]	0	154	1	222.115.187.198|154|0	
[2026-02-19 21시05분55초]	0	172	1	222.115.187.198|172|0	
[2026-02-19 21시05분56초]	25	268	1	222.115.187.198|268|25	
[2026-02-19 21시05분57초]	0	126	1	222.115.187.198|126|0	
[2026-02-19 21시05분58초]	0	136	1	222.115.187.198|136|0	
[2026-02-19 21시05분59초]	0	162	1	222.115.187.198|162|0	
[2026-02-19 21시06분00초]	25	304	1	222.115.187.198|304|25	
[2026-02-19 21시06분02초]	3	318	1	222.115.187.198|318|3	
[2026-02-19 21시06분03초]	13	9748	1	222.115.187.198|9748|13	
[2026-02-19 21시06분04초]	0	500	1	222.115.187.198|500|0	
[2026-02-19 21시06분05초]	0	136	1	222.115.187.198|136|0	
[2026-02-19 21시06분06초]	0	144	1	222.115.187.198|144|0	
[2026-02-19 21시06분07초]	0	182	1	222.115.187.198|182|0	
[2026-02-19 21시06분08초]	8	284	1	222.115.187.198|284|8	
[2026-02-19 21시06분09초]	0	162	1	222.115.187.198|162|0	
[2026-02-19 21시06분10초]	8	226	1	222.115.187.198|226|8	
[2026-02-19 21시06분11초]	0	126	1	222.115.187.198|126|0	
[2026-02-19 21시06분12초]	10	802	1	222.115.187.198|802|10	
[2026-02-19 21시06분13초]	3	186	1	222.115.187.198|186|3	
[2026-02-19 21시06분14초]	13	9490	1	222.115.187.198|9490|13	
[2026-02-19 21시06분15초]	0	966	1	222.115.187.198|966|0	
[2026-02-19 21시06분16초]	10	918	1	222.115.187.198|918|10	
[2026-02-19 21시06분17초]	0	136	1	222.115.187.198|136|0	
[2026-02-19 21시06분18초]	0	126	1	222.115.187.198|126|0	
[2026-02-19 21시06분19초]	0	126	1	222.115.187.198|126|0	
[2026-02-19 21시06분20초]	0	136	1	222.115.187.198|136|0	
[2026-02-19 21시06분21초]	0	126	1	222.115.187.198|126|0	
[2026-02-19 21시06분22초]	0	136	1	222.115.187.198|136|0	
[2026-02-19 21시06분23초]	0	172	1	222.115.187.198|172|0	
[2026-02-19 21시06분24초]	0	144	1	222.115.187.198|144|0	
[2026-02-19 21시06분25초]	8	312	1	222.115.187.198|312|8	
[2026-02-19 21시06분26초]	0	154	1	222.115.187.198|154|0	
[2026-02-19 21시06분27초]	10	828	1	222.115.187.198|828|10	
[2026-02-19 21시06분28초]	0	126	1	222.115.187.198|126|0	
[2026-02-19 21시06분29초]	0	136	1	222.115.187.198|136|0	
[2026-02-19 21시06분30초]	0	126	1	222.115.187.198|126|0	
[2026-02-19 21시06분31초]	0	126	1	222.115.187.198|126|0	
[2026-02-19 21시06분32초]	8	226	1	222.115.187.198|226|8	
[2026-02-19 21시06분33초]	0	126	1	222.115.187.198|126|0	
[2026-02-19 21시06분34초]	0	126	1	222.115.187.198|126|0	
[2026-02-19 21시06분35초]	0	146	1	222.115.187.198|146|0	
[2026-02-19 21시06분36초]	0	126	1	222.115.187.198|126|0	
[2026-02-19 21시06분37초]	10	792	1	222.115.187.198|792|10	
[2026-02-19 21시06분38초]	0	136	1	222.115.187.198|136|0	
[2026-02-19 21시06분39초]	0	144	1	222.115.187.198|144|0	
[2026-02-19 21시06분40초]	0	162	1	222.115.187.198|162|0	
[2026-02-19 21시06분41초]	0	154	1	222.115.187.198|154|0	
[2026-02-19 21시06분42초]	0	144	1	222.115.187.198|144|0	
[2026-02-19 21시06분43초]	0	126	1	222.115.187.198|126|0	
[2026-02-19 21시06분44초]	0	136	1	222.115.187.198|136|0	
[2026-02-19 21시06분45초]	0	136	1	222.115.187.198|136|0	
[2026-02-19 21시06분46초]	0	144	1	222.115.187.198|144|0	
[2026-02-19 21시06분47초]	0	154	1	222.115.187.198|154|0	
[2026-02-19 21시06분48초]	8	302	1	222.115.187.198|302|8	
[2026-02-19 21시06분49초]	0	144	1	222.115.187.198|144|0	
[2026-02-19 21시06분50초]	0	172	1	222.115.187.198|172|0	
[2026-02-19 21시06분51초]	10	792	1	222.115.187.198|792|10	
[2026-02-19 21시06분52초]	0	126	1	222.115.187.198|126|0	
[2026-02-19 21시06분53초]	0	136	1	222.115.187.198|136|0	
[2026-02-19 21시06분54초]	0	126	1	222.115.187.198|126|0	
[2026-02-19 21시06분55초]	0	136	1	222.115.187.198|136|0	
[2026-02-19 21시06분56초]	0	136	1	222.115.187.198|136|0	
[2026-02-19 21시06분57초]	0	144	1	222.115.187.198|144|0	
[2026-02-19 21시06분58초]	0	144	1	222.115.187.198|144|0	
[2026-02-19 21시06분59초]	0	154	1	222.115.187.198|154|0	
[2026-02-19 21시07분00초]	10	810	1	222.115.187.198|810|10	
[2026-02-19 21시07분01초]	8	234	1	222.115.187.198|234|8	
[2026-02-19 21시07분02초]	0	154	1	222.115.187.198|154|0	
[2026-02-19 21시07분03초]	10	828	1	222.115.187.198|828|10	
[2026-02-19 21시07분04초]	0	144	1	222.115.187.198|144|0	
[2026-02-19 21시07분05초]	0	182	1	222.115.187.198|182|0	
[2026-02-19 21시07분06초]	0	144	1	222.115.187.198|144|0	
