[2026-01-05 19시21분32초]	0	0	0	
[2026-01-05 19시21분34초]	0	0	0	
[2026-01-05 19시21분35초]	0	0	0	
[2026-01-05 19시21분36초]	0	0	0	
[2026-01-05 19시21분37초]	0	0	0	
[2026-01-05 19시21분38초]	0	0	0	
[2026-01-05 19시21분39초]	0	0	0	
[2026-01-05 19시21분40초]	0	0	0	
[2026-01-05 19시21분41초]	0	0	0	
[2026-01-05 19시21분42초]	0	0	0	
[2026-01-05 19시21분43초]	0	0	0	
[2026-01-05 19시21분44초]	0	0	0	
[2026-01-05 19시21분45초]	0	0	0	
[2026-01-05 19시21분46초]	0	0	0	
[2026-01-05 19시21분47초]	0	0	0	
[2026-01-05 19시22분54초]	0	1036	2	222.115.187.198|464|0	222.115.187.198|572|0	
[2026-01-05 19시22분55초]	3	972	2	222.115.187.198|428|0	222.115.187.198|544|3	
[2026-01-05 19시22분56초]	25	1080	2	222.115.187.198|418|0	222.115.187.198|662|25	
[2026-01-05 19시22분57초]	0	944	2	222.115.187.198|418|0	222.115.187.198|526|0	
[2026-01-05 19시22분58초]	0	944	2	222.115.187.198|418|0	222.115.187.198|526|0	
[2026-01-05 19시22분59초]	13	1058	2	222.115.187.198|470|0	222.115.187.198|588|13	
[2026-01-05 19시23분00초]	0	944	2	222.115.187.198|418|0	222.115.187.198|526|0	
[2026-01-05 19시23분01초]	0	944	2	222.115.187.198|418|0	222.115.187.198|526|0	
[2026-01-05 19시23분02초]	0	954	2	222.115.187.198|418|0	222.115.187.198|536|0	
[2026-01-05 19시23분03초]	0	944	2	222.115.187.198|418|0	222.115.187.198|526|0	
[2026-01-05 19시23분04초]	0	964	2	222.115.187.198|428|0	222.115.187.198|536|0	
[2026-01-05 19시23분05초]	0	884	2	222.115.187.198|388|0	222.115.187.198|496|0	
[2026-01-05 19시23분06초]	0	954	2	222.115.187.198|418|0	222.115.187.198|536|0	
[2026-01-05 19시23분07초]	0	944	2	222.115.187.198|418|0	222.115.187.198|526|0	
[2026-01-05 19시23분08초]	0	1024	2	222.115.187.198|448|0	222.115.187.198|576|0	
[2026-01-05 19시23분09초]	0	944	2	222.115.187.198|418|0	222.115.187.198|526|0	
[2026-01-05 19시23분10초]	7	1338	2	222.115.187.198|418|0	222.115.187.198|920|7	
[2026-01-05 19시23분11초]	0	954	2	222.115.187.198|418|0	222.115.187.198|536|0	
[2026-01-05 19시23분12초]	3	944	2	222.115.187.198|418|3	222.115.187.198|526|0	
[2026-01-05 19시23분13초]	0	944	2	222.115.187.198|418|0	222.115.187.198|526|0	
[2026-01-05 19시23분14초]	18	1010	2	222.115.187.198|428|0	222.115.187.198|582|18	
[2026-01-05 19시23분15초]	22	1174	2	222.115.187.198|586|0	222.115.187.198|588|22	
[2026-01-05 19시23분16초]	22	1290	2	222.115.187.198|682|0	222.115.187.198|608|22	
[2026-01-05 19시23분17초]	33	1352	2	222.115.187.198|718|0	222.115.187.198|634|33	
[2026-01-05 19시23분18초]	22	1174	2	222.115.187.198|586|0	222.115.187.198|588|22	
[2026-01-05 19시23분19초]	0	1050	2	222.115.187.198|514|0	222.115.187.198|536|0	
[2026-01-05 19시23분20초]	0	1050	2	222.115.187.198|514|0	222.115.187.198|536|0	
[2026-01-05 19시23분21초]	0	1156	2	222.115.187.198|610|0	222.115.187.198|546|0	
[2026-01-05 19시23분22초]	0	1050	2	222.115.187.198|514|0	222.115.187.198|536|0	
[2026-01-05 19시23분23초]	0	1050	2	222.115.187.198|514|0	222.115.187.198|536|0	
[2026-01-05 19시23분24초]	0	1070	2	222.115.187.198|524|0	222.115.187.198|546|0	
[2026-01-05 19시23분25초]	0	944	2	222.115.187.198|418|0	222.115.187.198|526|0	
[2026-01-05 19시23분26초]	0	1198	2	222.115.187.198|536|0	222.115.187.198|662|0	
[2026-01-05 19시23분27초]	0	944	2	222.115.187.198|418|0	222.115.187.198|526|0	
[2026-01-05 19시23분28초]	0	1014	2	222.115.187.198|448|0	222.115.187.198|566|0	
[2026-01-05 19시23분29초]	14	1378	2	222.115.187.198|842|14	222.115.187.198|536|0	
[2026-01-05 19시23분30초]	0	1012	2	222.115.187.198|486|0	222.115.187.198|526|0	
[2026-01-05 19시23분31초]	0	944	2	222.115.187.198|418|0	222.115.187.198|526|0	
[2026-01-05 19시23분32초]	22	1242	2	222.115.187.198|586|0	222.115.187.198|656|22	
[2026-01-05 19시23분33초]	22	1274	2	222.115.187.198|636|0	222.115.187.198|638|22	
[2026-01-05 19시23분34초]	33	1408	2	222.115.187.198|756|0	222.115.187.198|652|33	
[2026-01-05 19시23분35초]	22	1290	2	222.115.187.198|682|0	222.115.187.198|608|22	
[2026-01-05 19시23분36초]	22	1174	2	222.115.187.198|586|0	222.115.187.198|588|22	
[2026-01-05 19시23분37초]	0	1050	2	222.115.187.198|514|0	222.115.187.198|536|0	
[2026-01-05 19시23분38초]	0	1166	2	222.115.187.198|610|0	222.115.187.198|556|0	
[2026-01-05 19시23분39초]	0	1050	2	222.115.187.198|514|0	222.115.187.198|536|0	
[2026-01-05 19시23분40초]	0	1050	2	222.115.187.198|514|0	222.115.187.198|536|0	
[2026-01-05 19시23분41초]	0	1050	2	222.115.187.198|514|0	222.115.187.198|536|0	
[2026-01-05 19시23분42초]	8	1304	2	222.115.187.198|610|0	222.115.187.198|694|8	
[2026-01-05 19시23분43초]	8	1150	2	222.115.187.198|514|0	222.115.187.198|636|8	
[2026-01-05 19시23분44초]	8	1260	2	222.115.187.198|524|0	222.115.187.198|736|8	
[2026-01-05 19시23분45초]	8	1034	2	222.115.187.198|418|0	222.115.187.198|616|8	
[2026-01-05 19시23분46초]	8	1144	2	222.115.187.198|418|0	222.115.187.198|726|8	
[2026-01-05 19시23분47초]	8	1034	2	222.115.187.198|418|0	222.115.187.198|616|8	
[2026-01-05 19시23분48초]	0	944	2	222.115.187.198|418|0	222.115.187.198|526|0	
[2026-01-05 19시23분49초]	8	1212	2	222.115.187.198|486|0	222.115.187.198|726|8	
[2026-01-05 19시23분50초]	8	1120	2	222.115.187.198|448|0	222.115.187.198|672|8	
[2026-01-05 19시23분51초]	8	1150	2	222.115.187.198|418|0	222.115.187.198|732|8	
[2026-01-05 19시23분52초]	0	954	2	222.115.187.198|418|0	222.115.187.198|536|0	
[2026-01-05 19시23분53초]	8	1042	2	222.115.187.198|418|0	222.115.187.198|624|8	
[2026-01-05 19시23분54초]	16	1268	2	222.115.187.198|428|0	222.115.187.198|840|16	
