[2025-12-30 10시39분04초]	0	0	0	
[2025-12-30 10시39분05초]	0	0	0	
[2025-12-30 10시39분06초]	0	0	0	
[2025-12-30 10시39분07초]	0	0	0	
[2025-12-30 10시39분08초]	0	0	0	
[2025-12-30 10시39분09초]	0	0	0	
[2025-12-30 10시39분10초]	0	0	0	
[2025-12-30 10시39분11초]	0	0	0	
[2025-12-30 10시39분12초]	0	0	0	
[2025-12-30 10시39분13초]	0	0	0	
[2025-12-30 10시39분14초]	0	0	0	
[2025-12-30 10시39분15초]	0	0	0	
[2025-12-30 10시39분16초]	0	42	1	null|42|0	
[2025-12-30 10시39분17초]	0	0	1	null|0|0	
[2025-12-30 10시39분18초]	0	0	1	null|0|0	
[2025-12-30 10시39분19초]	0	0	1	null|0|0	
[2025-12-30 10시39분20초]	0	0	1	null|0|0	
[2025-12-30 10시39분21초]	44	202	1	222.115.187.198|202|44	
[2025-12-30 10시39분22초]	16	5118	1	222.115.187.198|5118|16	
[2025-12-30 10시39분23초]	3	624	1	222.115.187.198|624|3	
[2025-12-30 10시39분24초]	0	126	1	222.115.187.198|126|0	
[2025-12-30 10시39분25초]	0	126	1	222.115.187.198|126|0	
[2025-12-30 10시39분26초]	0	136	1	222.115.187.198|136|0	
[2025-12-30 10시39분27초]	23	252	1	222.115.187.198|252|23	
[2025-12-30 10시39분28초]	0	126	1	222.115.187.198|126|0	
[2025-12-30 10시39분29초]	0	136	1	222.115.187.198|136|0	
[2025-12-30 10시39분30초]	8	216	1	222.115.187.198|216|8	
[2025-12-30 10시39분31초]	0	136	1	222.115.187.198|136|0	
[2025-12-30 10시39분32초]	22	174	1	222.115.187.198|174|22	
[2025-12-30 10시39분33초]	16	176	1	222.115.187.198|176|16	
[2025-12-30 10시39분34초]	16	136	1	222.115.187.198|136|16	
[2025-12-30 10시39분35초]	0	126	1	222.115.187.198|126|0	
[2025-12-30 10시39분36초]	0	126	1	222.115.187.198|126|0	
[2025-12-30 10시39분37초]	0	126	1	222.115.187.198|126|0	
[2025-12-30 10시39분38초]	0	136	1	222.115.187.198|136|0	
[2025-12-30 10시39분39초]	0	126	1	222.115.187.198|126|0	
[2025-12-30 10시39분40초]	0	136	1	222.115.187.198|136|0	
[2025-12-30 10시39분41초]	0	136	1	222.115.187.198|136|0	
[2025-12-30 10시39분42초]	0	126	1	222.115.187.198|126|0	
[2025-12-30 10시39분43초]	0	126	1	222.115.187.198|126|0	
[2025-12-30 10시39분44초]	0	136	1	222.115.187.198|136|0	
[2025-12-30 10시39분45초]	0	126	1	222.115.187.198|126|0	
[2025-12-30 10시39분46초]	0	126	1	222.115.187.198|126|0	
[2025-12-30 10시39분47초]	0	136	1	222.115.187.198|136|0	
[2025-12-30 10시39분48초]	0	126	1	222.115.187.198|126|0	
[2025-12-30 10시39분49초]	0	126	1	222.115.187.198|126|0	
[2025-12-30 10시39분50초]	0	146	1	222.115.187.198|146|0	
[2025-12-30 10시39분51초]	0	126	1	222.115.187.198|126|0	
[2025-12-30 10시39분52초]	0	126	1	222.115.187.198|126|0	
[2025-12-30 10시39분53초]	0	136	1	222.115.187.198|136|0	
[2025-12-30 10시39분54초]	27	252	1	222.115.187.198|252|27	
[2025-12-30 10시39분55초]	0	126	1	222.115.187.198|126|0	
[2025-12-30 10시39분56초]	0	136	1	222.115.187.198|136|0	
[2025-12-30 10시39분57초]	11	180	1	222.115.187.198|180|11	
[2025-12-30 10시39분59초]	0	126	1	222.115.187.198|126|0	
[2025-12-30 10시40분00초]	11	300	1	222.115.187.198|300|11	
[2025-12-30 10시40분01초]	0	136	1	222.115.187.198|136|0	
[2025-12-30 10시40분02초]	0	126	1	222.115.187.198|126|0	
[2025-12-30 10시40분03초]	0	136	1	222.115.187.198|136|0	
[2025-12-30 10시40분04초]	0	126	1	222.115.187.198|126|0	
[2025-12-30 10시40분05초]	0	126	1	222.115.187.198|126|0	
[2025-12-30 10시40분06초]	0	136	1	222.115.187.198|136|0	
[2025-12-30 10시40분07초]	0	126	1	222.115.187.198|126|0	
[2025-12-30 10시40분08초]	0	126	1	222.115.187.198|126|0	
[2025-12-30 10시40분09초]	0	136	1	222.115.187.198|136|0	
