[2026-03-25 20시29분12초]	 [IP: 222.115.187.198]	 [계정: Ktamin]	 [캐릭명: 메티스]	 [접속]
[2026-03-25 20시31분05초]	 [IP: 222.115.187.198]	 [계정: Ktamin]	 [캐릭명: 메티스]	 [종료]
[2026-03-25 20시31분05초]	 [IP: 222.115.187.198]	 [계정: Ktamin]	 [캐릭명: 메티스]	 [접속]
[2026-03-25 21시29분26초]	 [IP: 222.115.187.198]	 [계정: Ktamin]	 [캐릭명: 메티스]	 [접속]
[2026-03-25 21시30분11초]	 [IP: 222.115.187.198]	 [계정: Ktamin]	 [캐릭명: 메티스]	 [종료]
[2026-03-25 21시30분11초]	 [IP: 222.115.187.198]	 [계정: Ktamin]	 [캐릭명: 메티스]	 [접속]
[2026-03-25 21시30분27초]	 [IP: 222.115.187.198]	 [계정: Ktamin]	 [캐릭명: 메티스]	 [종료]
[2026-03-25 21시30분28초]	 [IP: 222.115.187.198]	 [계정: Ktamin]	 [캐릭명: 메티스]	 [접속]
[2026-03-25 21시33분53초]	 [IP: 222.115.187.198]	 [계정: Ktamin]	 [캐릭명: 메티스]	 [종료]
