[2026-02-24 15시03분13초]	 [캐릭터: 메티스]	 [.변신]
[2026-02-24 15시03분24초]	 [캐릭터: 메티스]	 [.템 고대마물의부츠 1 7 1]
[2026-02-24 15시03분33초]	 [캐릭터: 메티스]	 [.정보]
[2026-02-24 15시03분37초]	 [캐릭터: 메티스]	 [.정보]
[2026-02-24 15시04분24초]	 [캐릭터: 메티스]	 [.리로드 아이템]
[2026-02-24 15시05분50초]	 [캐릭터: 메티스]	 [.리로드 아이템]
[2026-02-24 15시05분59초]	 [캐릭터: 메티스]	 [.정보]
[2026-02-24 15시06분03초]	 [캐릭터: 메티스]	 [.정보]
[2026-02-24 15시06분31초]	 [캐릭터: 메티스]	 [.정보]
[2026-02-24 15시06분43초]	 [캐릭터: 메티스]	 [.정보]
[2026-02-24 15시06분47초]	 [캐릭터: 메티스]	 [.정보]
[2026-02-24 15시06분52초]	 [캐릭터: 메티스]	 [.정보]
[2026-02-24 15시15분43초]	 [캐릭터: 메티스]	 [.템 고대마물의부츠 1 7 1]
[2026-02-24 15시15분47초]	 [캐릭터: 메티스]	 [.정보]
[2026-02-24 15시15분51초]	 [캐릭터: 메티스]	 [.정보]
[2026-02-24 15시29분53초]	 [캐릭터: 메티스]	 [.정보]
[2026-02-24 15시29분59초]	 [캐릭터: 메티스]	 [.정보]
[2026-02-24 15시30분07초]	 [캐릭터: 메티스]	 [.저어보]
[2026-02-24 15시30분09초]	 [캐릭터: 메티스]	 [.정보]
[2026-02-24 15시30분12초]	 [캐릭터: 메티스]	 [.정보]
[2026-02-24 15시30분29초]	 [캐릭터: 메티스]	 [.정보]
[2026-02-24 15시32분13초]	 [캐릭터: 메티스]	 [.저어보]
[2026-02-24 15시32분15초]	 [캐릭터: 메티스]	 [.정보]
[2026-02-24 15시32분19초]	 [캐릭터: 메티스]	 [.정보]
[2026-02-24 15시32분24초]	 [캐릭터: 메티스]	 [.정보]
[2026-02-24 15시32분29초]	 [캐릭터: 메티스]	 [.정보]
[2026-02-24 15시32분40초]	 [캐릭터: 메티스]	 [.정보]
[2026-02-24 15시32분45초]	 [캐릭터: 메티스]	 [.정보]
[2026-02-24 15시34분47초]	 [캐릭터: 메티스]	 [.정보]
[2026-02-24 15시34분53초]	 [캐릭터: 메티스]	 [.정보]
[2026-02-24 15시36분30초]	 [캐릭터: 메티스]	 [.정보]
[2026-02-24 15시36분36초]	 [캐릭터: 메티스]	 [.정보]
[2026-02-24 15시36분40초]	 [캐릭터: 메티스]	 [.정보]
[2026-02-24 15시36분44초]	 [캐릭터: 메티스]	 [.정보]
[2026-02-24 15시36분48초]	 [캐릭터: 메티스]	 [.정보]
[2026-02-24 15시37분48초]	 [캐릭터: 메티스]	 [.템 고대마물의장갑 1 5 1]
[2026-02-24 15시37분54초]	 [캐릭터: 메티스]	 [.정보]
[2026-02-24 15시38분29초]	 [캐릭터: 메티스]	 [.정보]
[2026-02-24 15시38분33초]	 [캐릭터: 메티스]	 [.정보]
[2026-02-24 15시38분37초]	 [캐릭터: 메티스]	 [.정보]
[2026-02-24 15시38분41초]	 [캐릭터: 메티스]	 [.정보]
[2026-02-24 15시42분12초]	 [캐릭터: 메티스]	 [.템 고대암석의장갑]
[2026-02-24 15시42분17초]	 [캐릭터: 메티스]	 [.템 고대암석의장갑 1 5 1]
[2026-02-24 15시42분27초]	 [캐릭터: 메티스]	 [.정보]
[2026-02-24 15시42분34초]	 [캐릭터: 메티스]	 [.정보]
[2026-02-24 15시42분39초]	 [캐릭터: 메티스]	 [.정보]
[2026-02-24 15시42분43초]	 [캐릭터: 메티스]	 [.정보]
[2026-02-24 15시42분49초]	 [캐릭터: 메티스]	 [.정보]
[2026-02-24 16시36분17초]	 [캐릭터: 메티스]	 [.리로드 아이템]
[2026-02-24 16시38분55초]	 [캐릭터: 메티스]	 [.정보]
[2026-02-24 16시38분59초]	 [캐릭터: 메티스]	 [.정보]
[2026-02-24 16시39분14초]	 [캐릭터: 메티스]	 [.정보]
[2026-02-24 16시39분17초]	 [캐릭터: 메티스]	 [.정보]
[2026-02-24 16시39분22초]	 [캐릭터: 메티스]	 [.정보]
[2026-02-24 16시58분17초]	 [캐릭터: 메티스]	 [.인벤]
[2026-02-24 17시02분20초]	 [캐릭터: 메티스]	 [.보상코인]
[2026-02-24 17시09분30초]	 [캐릭터: 메티스]	 [.리로드 아이템]
